temp_min,temp_max,rain,wind_gust,wind_speed,humidity,pressure,clouds,CloudBurstToday,CloudBurstTomorrow
19.2,23.9,8,37,11,95,1017.7,NA,1,NA
0.6,19.1,0,NA,15,64,1025.3,NA,0,NA
1,20,NA,NA,9,81,1024.4,NA,NA,NA
5.3,22.7,0,54,26,49,1011.8,NA,0,NA
5.5,NA,0,50,17,51,1016.4,NA,0,NA
5.6,24.8,0,15,4,84,1031.3,NA,0,NA
15.8,29.4,0,30,6,91,1023.5,NA,0,NA
10.2,19.1,1.2,57,26,52,1001.9,NA,1,NA
5.8,22.5,0.2,13,6,100,1028.8,NA,0,NA
5.2,24.2,NA,11,6,84,1029.6,NA,NA,NA
6.9,17.6,0,33,13,66,1027.2,NA,0,NA
6.7,NA,1.2,NA,NA,96,1026.8,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.6,27.7,0,61,13,76,1008.2,NA,0,NA
11.3,32.2,0,26,7,74,1015.5,NA,0,NA
16.9,33.7,0,NA,7,67,1015.9,NA,0,NA
5.8,19.9,0,28,13,61,NA,NA,0,NA
14.7,28.6,2.8,NA,19,80,1013.1,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,27.6,NA,NA,11,NA,NA,NA,NA,NA
16.4,29.4,0,NA,20,70,1012.3,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,2,NA,NA,NA,NA,NA
17.6,28.1,0.6,NA,17,58,1021.4,NA,0,NA
12,23.8,0,41,22,44,1016.3,7,0,NA
3.5,16,0,44,20,78,1014.7,7,0,NA
7.4,13,NA,28,15,90,1013,8,NA,NA
6.5,16.7,NA,26,6,58,1010.5,NA,NA,NA
19.5,38,2,NA,13,56,NA,2,1,NA
23.9,41.7,NA,50,17,35,1011.5,1,NA,NA
25.6,33.3,1.2,54,30,36,1012.7,7,1,NA
14.8,27.7,NA,46,24,46,1021.9,0,NA,NA
24.7,37.5,0,44,11,39,1015.7,5,0,NA
20.1,36.8,0,39,20,NA,1016.2,NA,0,NA
23,37.7,NA,41,13,NA,1015.1,NA,NA,NA
22.1,38.2,NA,41,13,NA,1015.8,1,NA,NA
22.3,38.1,NA,50,15,NA,1015,NA,NA,NA
22.1,36.5,NA,35,13,NA,1013,NA,NA,NA
18,24.1,NA,50,22,NA,1013.3,8,NA,NA
13.1,30.5,0,28,15,NA,1016.8,NA,0,NA
15.9,33.2,NA,37,19,NA,1014.4,NA,NA,NA
17.6,35.1,NA,35,17,NA,1010.6,NA,NA,NA
24.6,41.2,0,NA,26,54,1008.3,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,19,NA,NA,NA,NA,NA
19,23.3,62.6,70,19,88,1009.9,8,1,NA
10.4,22.4,1.8,28,17,57,1014.9,3,1,NA
15.4,24.8,0.4,31,19,60,1018.9,1,0,NA
15.4,26.4,0,31,22,77,1011.8,7,0,NA
24.2,28.2,1.6,50,20,81,1012.9,8,1,NA
18,25.2,0.2,39,24,69,1021.4,7,0,NA
17.6,25.4,NA,30,11,74,1023.3,3,NA,NA
18.7,27.4,NA,35,22,84,1021.9,6,NA,NA
5.5,20.7,0,NA,NA,61,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12.1,25.5,0,NA,NA,69,NA,NA,0,NA
19.4,29.8,19.2,NA,NA,77,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19.7,NA,0,NA,NA,72,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,27.2,NA,NA,NA,53,NA,NA,NA,NA
21.7,27.6,0,NA,NA,74,NA,NA,0,NA
22.9,29,NA,NA,NA,80,NA,NA,NA,NA
22.7,29.2,NA,NA,NA,71,NA,NA,NA,NA
22.1,28.9,NA,NA,NA,78,NA,NA,NA,NA
22.4,28.2,NA,NA,NA,64,NA,NA,NA,NA
18.9,26.7,NA,NA,NA,71,NA,NA,NA,NA
19.1,27.6,NA,NA,NA,74,NA,NA,NA,NA
18.7,27.3,NA,NA,NA,74,NA,NA,NA,NA
17.8,28,NA,NA,NA,70,NA,NA,NA,NA
21.1,29.7,NA,NA,NA,63,NA,NA,NA,NA
23.4,28.9,NA,NA,NA,66,NA,NA,NA,NA
24.1,27.2,NA,NA,NA,74,NA,NA,NA,NA
21.1,26.7,NA,NA,NA,88,NA,NA,NA,NA
19.6,27.4,NA,NA,NA,72,NA,NA,NA,NA
23.5,33.5,NA,NA,NA,75,NA,NA,NA,NA
22.5,29.2,NA,NA,NA,57,NA,NA,NA,NA
18.5,29.3,NA,NA,NA,69,NA,NA,NA,NA
20.2,30.1,NA,NA,NA,66,NA,NA,NA,NA
16.8,29.5,NA,NA,NA,52,NA,NA,NA,NA
22.1,28.7,NA,NA,NA,69,NA,NA,NA,NA
18.4,28.1,NA,NA,NA,92,NA,NA,NA,NA
18.6,28.1,NA,NA,NA,73,NA,NA,NA,NA
19.9,26.1,NA,NA,NA,95,NA,NA,NA,NA
21.3,26.9,NA,NA,NA,79,NA,NA,NA,NA
20.9,28.3,NA,NA,NA,77,NA,NA,NA,NA
21,32.2,NA,NA,NA,72,NA,NA,NA,NA
21.1,29.1,NA,NA,NA,72,NA,NA,NA,NA
21.6,24.8,NA,NA,NA,82,NA,NA,NA,NA
17.4,24.2,NA,NA,NA,82,NA,NA,NA,NA
17.7,27.3,0,28,13,51,1011.5,NA,0,NA
18.8,23.2,0.3,39,19,94,1015.7,7,0,NA
14.3,23.4,5.6,48,17,72,1019.9,7,1,NA
19,30.9,0,56,15,61,1013.8,6,0,NA
16.5,25.4,12,37,15,60,1016.6,5,1,NA
21,33.9,0,39,9,64,1016.3,6,0,NA
20.8,34.7,NA,54,20,76,1012.5,NA,NA,NA
20.4,29.1,NA,37,24,87,1009.6,8,NA,NA
5.7,23.5,0,31,19,67,1026.1,1,0,NA
4.4,24.5,NA,33,13,39,1026.2,NA,NA,NA
6.2,22.1,0,43,20,59,1021,6,0,NA
16.8,36.8,0,43,19,50,1012.3,1,0,NA
17.9,35.5,NA,54,6,52,1013.5,NA,NA,NA
20.8,35.2,NA,50,20,46,1015.8,NA,NA,NA
15.3,31.6,0,57,24,54,1012,2,0,NA
17.5,31.1,NA,46,22,83,1012.6,6,NA,NA
11,32,NA,39,17,67,1015.4,NA,NA,NA
19.2,37,0,48,15,48,1010.4,3,0,NA
22.1,28.4,NA,NA,11,67,1009.1,1,NA,NA
19.6,31.1,NA,NA,NA,76,1007.1,4,NA,NA
22.3,26.2,23.8,30,15,93,1007.9,8,1,NA
16.4,31.4,NA,37,17,53,1013.6,8,NA,NA
20.5,29.5,0.8,37,13,77,1018.1,8,0,NA
20.7,31.7,NA,37,24,64,1015.8,1,NA,NA
19.1,32.8,0,37,9,53,1017.9,1,0,NA
20,27.6,NA,35,9,55,1017.9,2,NA,NA
17.2,32.9,NA,35,17,61,1014.6,NA,NA,NA
18.9,23.3,36.6,35,7,78,1018.4,7,1,NA
18.8,31.9,0,33,6,72,1017.5,0,0,NA
21.2,30.7,NA,48,15,66,1017.8,3,NA,NA
14.7,30.5,0,30,9,51,1016.9,1,0,NA
17.7,30,NA,37,11,58,1018.4,1,NA,NA
13.7,27.7,NA,33,19,62,1018.9,NA,NA,NA
10.8,26.2,0,35,13,56,1024.7,1,0,NA
15,25.3,NA,33,19,83,1021.1,8,NA,NA
7.2,22,0,37,11,54,1022.1,2,0,NA
10.5,21.5,NA,39,13,65,1019.5,4,NA,NA
6.8,21.2,0,22,9,75,1028.4,6,0,NA
12.9,23.1,NA,39,19,82,1022.8,8,NA,NA
11.6,22.1,NA,28,7,80,1021.4,8,NA,NA
1.2,18.7,0,24,13,72,1027.5,1,0,NA
2.1,20.7,NA,28,11,71,1024.6,NA,NA,NA
11.4,23.3,0,46,24,65,1022.4,7,0,NA
12.5,24.6,NA,43,15,73,1025.5,NA,NA,NA
8.4,21.8,0,35,19,45,1031.5,6,0,NA
8.4,21.9,NA,35,17,57,1028.4,NA,NA,NA
11.3,14.3,NA,46,19,85,1019.5,8,NA,NA
7.3,22,0,31,2,54,1024.5,1,0,NA
8.5,22,NA,46,2,56,1027.8,NA,NA,NA
9.2,23.1,0,35,15,50,1027,1,0,NA
6.4,23.1,NA,39,20,62,1024.8,NA,NA,NA
6.2,22,NA,37,13,69,1019.9,8,NA,NA
6.4,26.4,0,33,9,43,1021.5,0,0,NA
9.6,29.1,NA,30,7,49,1019,NA,NA,NA
11.1,30,0,30,6,52,1019.9,1,0,NA
14.7,29.9,NA,43,15,57,1019.1,NA,NA,NA
17.3,31.1,NA,44,9,55,1017.3,NA,NA,NA
17.3,33.2,0,44,0,51,1020.8,4,0,NA
16.8,35.5,NA,37,9,42,1020.5,NA,NA,NA
20.8,38.3,NA,37,13,40,1017.8,NA,NA,NA
18,37.7,0,56,24,50,1014.4,NA,0,NA
21.9,37.8,0,48,19,53,1015.2,1,0,NA
25.8,40.5,NA,56,28,50,1011.6,NA,NA,NA
23,42.2,NA,41,2,40,1012,NA,NA,NA
19.7,35.7,0,59,17,53,1016.2,1,0,NA
18.9,33.6,NA,56,15,40,1018.6,NA,NA,NA
24.4,34.4,0,80,17,49,1014.1,7,0,NA
20.4,35.1,NA,52,13,69,1009.8,NA,NA,NA
18.9,31,NA,78,19,84,1007.1,2,NA,NA
24.3,34.3,0,56,20,59,1011.2,7,0,NA
22.4,35,NA,52,22,68,1010.7,8,NA,NA
21,38.7,0,52,24,54,1013.1,1,0,NA
23.2,25.5,NA,NA,NA,75,1018.2,8,NA,NA
18.3,32.6,NA,NA,NA,70,1018.9,NA,NA,NA
19.5,33,3.6,37,9,62,1009.9,7,1,NA
22.1,26.7,NA,35,15,78,1008.9,8,NA,NA
18.9,34.3,0,48,4,54,1019.6,1,0,NA
21.4,34.5,NA,54,15,53,1020.4,2,NA,NA
17.7,33.6,NA,37,6,47,1021,NA,NA,NA
20.9,35.5,0,50,19,50,1016.5,3,0,NA
22.3,27.6,NA,35,19,60,1013.1,8,NA,NA
22.1,32.6,0,48,30,66,1009.4,1,0,NA
18.2,33.7,0.2,52,6,62,1015.2,1,0,NA
18.4,32.8,NA,63,4,66,1014.5,NA,NA,NA
15.1,31,NA,37,17,57,1016.2,NA,NA,NA
19,37.1,0.8,48,28,64,1010.8,0,0,NA
18.2,41.3,NA,33,6,47,1012.5,NA,NA,NA
20.9,34.9,0,50,30,70,1014.7,1,0,NA
17.5,31.4,NA,39,19,66,1014.7,1,NA,NA
15.3,30.9,NA,NA,24,49,1018.4,1,NA,NA
13.4,27.9,NA,44,26,33,1021.6,NA,NA,NA
9.2,30.6,NA,30,6,36,1021.4,NA,NA,NA
12.3,31.3,NA,39,7,63,1022.4,NA,NA,NA
17.3,28.3,18.4,35,26,73,1022.6,8,1,NA
16,29.9,NA,43,20,73,1022.1,NA,NA,NA
14.7,30.3,NA,31,2,57,1019.8,NA,NA,NA
19.7,24.6,NA,46,11,69,1018.6,7,NA,NA
17.6,20.7,NA,33,19,93,1015.8,8,NA,NA
15.8,30,0,30,6,63,1025.9,1,0,NA
16.4,29.5,NA,35,17,62,1024.2,NA,NA,NA
18.1,28.3,NA,50,19,66,1021.3,NA,NA,NA
10.6,24,0,46,11,54,1025.3,2,0,NA
14.4,20.3,NA,39,19,90,1021.9,8,NA,NA
14.7,25.3,NA,39,11,75,1012.8,1,NA,NA
2.5,17.5,0,50,33,56,1028.4,0,0,NA
1,22.1,NA,28,7,55,1029.8,NA,NA,NA
7.6,23.6,NA,35,20,56,1031.7,NA,NA,NA
11.5,25,0.2,30,13,66,1029.2,7,0,NA
11.7,23.6,NA,37,17,72,1022.4,NA,NA,NA
14.2,28.4,NA,57,17,76,1019.5,NA,NA,NA
13.5,16.1,NA,57,13,94,1021.1,8,NA,NA
10.5,15.3,NA,37,24,91,1020,8,NA,NA
6.4,20.1,NA,35,17,78,1026.9,NA,NA,NA
10.2,22.8,0,28,9,69,1025.1,7,0,NA
14.2,22.6,NA,24,2,72,1024,8,NA,NA
1.1,16.2,0,46,28,82,1021.4,8,0,NA
7,15.9,1.6,28,20,90,1018.5,5,1,NA
7.5,15.9,NA,30,20,96,1019.2,8,NA,NA
5.6,20.6,0,31,11,77,1028.8,NA,0,NA
5.9,20.1,NA,24,11,74,1032.9,NA,NA,NA
1.5,12.1,0.2,39,24,89,1025.6,7,0,NA
0.4,15.5,NA,26,15,89,1026.4,NA,NA,NA
5.7,20.1,0,33,17,67,1027.7,1,0,NA
9.5,16.8,NA,37,17,73,1024.1,NA,NA,NA
8.7,20.2,NA,70,20,87,1018,NA,NA,NA
5.2,10.5,1.8,28,11,90,1020.6,8,1,NA
2.4,11.9,NA,48,30,93,1019.5,8,NA,NA
11.8,19.4,2.6,37,11,91,1024.9,8,1,NA
11.5,17,NA,31,4,94,1021,8,NA,NA
13.2,18.8,NA,24,15,94,1023.1,8,NA,NA
5,21.5,0,31,13,62,1027.7,1,0,NA
7,24.2,NA,37,13,65,1026.4,NA,NA,NA
13.5,26.4,NA,37,9,74,1024.7,NA,NA,NA
17.5,29.6,0,52,24,56,1020.6,NA,0,NA
18.2,32.9,0,41,9,60,1015,NA,0,NA
16,29.6,39,46,19,71,1015.4,3,1,NA
17.9,32.6,NA,37,15,54,1017.6,NA,NA,NA
20,31.2,0.2,54,13,57,1013.6,6,0,NA
18.5,32.3,NA,59,13,63,1013.7,4,NA,NA
19.5,30.4,NA,44,13,61,1010.2,1,NA,NA
20.5,35.9,0,39,9,43,1016,4,0,NA
20.8,33.8,NA,33,9,48,1013.9,NA,NA,NA
24.8,38.9,0,50,20,34,1017.1,1,0,NA
23,27.6,NA,56,39,63,1014.9,7,NA,NA
23.9,37.1,0,41,19,46,1013.9,7,0,NA
26.4,40.6,NA,59,17,39,1011.6,NA,NA,NA
23.7,35.7,NA,50,33,84,1008.8,8,NA,NA
21,34.2,1.4,48,15,68,1012.8,2,1,NA
20.8,32,29,43,19,89,1007.2,7,1,NA
21.3,28.6,NA,54,30,78,1003.2,7,NA,NA
21.5,33.7,0,46,11,63,1014.8,4,0,NA
21.1,33.1,NA,41,22,46,1015,4,NA,NA
22.4,33.7,NA,35,11,54,1014.1,5,NA,NA
21.9,34.9,NA,87,20,64,1008,NA,NA,NA
16.5,27.1,NA,43,28,54,1009.7,NA,NA,NA
12.2,30.5,NA,30,15,51,1012.2,NA,NA,NA
17,32.1,NA,46,7,63,1012.5,NA,NA,NA
NA,NA,0,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19.3,NA,0,NA,NA,78,NA,0,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8.2,23.2,0,NA,0,78,NA,NA,0,NA
8.8,NA,NA,NA,NA,71,NA,0,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21.2,NA,0.8,NA,19,87,NA,5,0,NA
17.3,NA,20,NA,NA,95,NA,8,1,NA
13.8,22.4,20.4,NA,11,87,NA,7,1,NA
17.6,26.1,0,NA,19,82,NA,7,0,NA
17,23.4,1,NA,6,75,NA,7,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,23.8,0,NA,NA,82,NA,6,0,NA
6.2,18.5,0.4,NA,0,97,NA,1,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,0,NA,9,61,NA,0,0,NA
NA,NA,0,NA,NA,NA,NA,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.5,NA,1.2,NA,NA,65,NA,0,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.8,24.7,27.8,NA,4,90,NA,7,1,NA
17,NA,NA,NA,19,96,NA,4,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20.5,NA,17.2,NA,NA,95,NA,8,1,NA
NA,NA,20,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13.9,NA,3,NA,0,94,NA,7,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.4,NA,0.8,NA,NA,67,NA,7,0,NA
15.8,NA,0,NA,NA,65,NA,0,0,NA
NA,33.8,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,2,NA,NA,71,NA,1,1,NA
20.8,28.8,0,NA,NA,88,NA,6,0,NA
20.5,NA,NA,NA,NA,86,NA,2,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,0.8,NA,NA,56,NA,4,0,NA
22.4,NA,0,NA,NA,83,NA,7,0,NA
19,NA,4.4,NA,NA,70,NA,6,1,NA
18,NA,0,NA,NA,71,NA,6,0,NA
NA,NA,53.4,NA,NA,NA,NA,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9.1,14.7,0,NA,19,48,1012.5,NA,0,NA
16.3,20.9,1.8,NA,13,76,1014.7,NA,1,NA
13.8,19.5,6.2,NA,15,90,1019.5,NA,1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16.1,NA,0,NA,28,69,1020,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,22,NA,NA,NA,NA,NA
17.7,20.6,0.2,NA,26,72,1026.9,NA,0,NA
17.9,23.8,NA,NA,22,NA,NA,NA,NA,NA
17.4,25.8,0,NA,33,78,1020.2,NA,0,NA
19.7,29.3,0,NA,30,87,1009.8,NA,0,NA
21.6,28,0,NA,30,34,1012.5,NA,0,NA
19.1,27.7,0,NA,26,82,1015.2,NA,0,NA
22.8,NA,0,NA,37,89,1013.3,NA,0,NA
19.8,27.5,0,NA,NA,80,1004.4,NA,0,NA
22.5,27,0.8,NA,11,85,1011.4,NA,0,NA
22.3,27.3,16.6,NA,19,92,1011.9,NA,1,NA
20.9,24.7,0,NA,31,59,1021.5,NA,0,NA
21.9,27,0,NA,43,82,1013.8,NA,0,NA
18.7,30.2,4.4,24,11,60,1014.3,NA,1,NA
14.1,22.5,0,24,11,62,1021.8,NA,0,NA
10.5,17.9,8.8,22,6,82,1023,NA,1,NA
8,NA,0,NA,NA,61,1019.3,NA,0,NA
9.1,16.4,0,44,22,67,1029.3,NA,0,NA
10.1,NA,40.6,NA,48,95,1014.9,NA,1,NA
NA,NA,NA,NA,11,NA,NA,NA,NA,NA
NA,NA,0,NA,NA,NA,1024.4,NA,0,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7.9,18.7,0,NA,35,66,1020.4,NA,0,NA
14,24.6,NA,52,20,NA,NA,NA,NA,NA
15,18.7,0,39,26,72,1016.1,NA,0,NA
19.2,31.2,0,NA,22,89,1011.5,NA,0,NA
19.8,NA,NA,NA,NA,NA,NA,NA,NA,NA
11.1,17.5,0,NA,35,69,1014.3,NA,0,NA
9.1,NA,0,NA,NA,52,1015.8,NA,0,NA
12.1,21.7,0.2,NA,22,72,1026.7,NA,0,NA
12.6,17.9,3.6,NA,33,72,1029.9,NA,1,NA
12.9,NA,0,44,28,76,1019.7,NA,0,NA
9.7,14.8,13.6,NA,19,87,1034.3,NA,1,NA
7.9,15.9,0,39,13,47,1013.4,NA,0,NA
11.4,19.6,0,41,13,56,1011.2,NA,0,NA
