temp_min,temp_max,rain ,,wind_speed,humidity,pressure,,,CloudBurstTomorrow,,,,
22.3,42.9,0,,11,37,1014.6,,,0,,,,
22,42.7,0,,4,33,1014.2,,,0,,,,
28,43.1,0,,9,27,1012.5,,,0,,,,
24.4,38.3,0.2,,7,32,1011.7,,,0,,,,
21.5,37.7,0,,9,51,1009.2,,,0,,,,
21.7,36.9,0,,11,53,1008.8,,,0,,,,
21.5,41.2,0,,19,48,1005.9,,,0,,,,
23.5,42.2,0,,15,39,1008,,,0,,,,
22.3,44.8,0,,33,36,1008.2,,,0,,,,
28.3,40.2,0,,22,20,1007,,,0,,,,
18.4,31.2,0.4,,11,66,1009.3,,,0,,,,
14.9,27.3,0,,13,50,1011.6,,,0,,,,
13.5,26.7,0,,11,45,1012.8,,,0,,,,
16.1,21.6,0,,15,58,1017,,,1,,,,
14.6,29,3,,24,41,1023.3,,,0,,,,
12.4,29.2,0,,0,37,1022.5,,,0,,,,
13.3,31.3,0,,15,50,1016.2,,,0,,,,
17.2,31.1,0,,11,43,1017.7,,,0,,,,
12.5,28.8,0,,11,46,1017.2,,,0,,,,
18,32,0,,13,44,1012.4,,,0,,,,
16.2,34,0,,22,53,1007.8,,,0,,,,
18.7,29.1,0,,17,45,1010.1,,,0,,,,
13.7,31.7,0,,9,63,1012.5,,,0,,,,
15.5,33.2,0,,15,49,1015.6,,,0,,,,
14.3,34,0,,22,48,1013,,,0,,,,
12.9,29.6,0,,24,54,1014,,,0,,,,
8.9,31.9,0,,17,49,1016.6,,,0,,,,
15,32.7,0,,2,43,1017.8,,,0,,,,
15.4,32.6,0,,6,53,1016.2,,,0,,,,
,,,,,,,,,,,,,
12.8,30.3,0,,13,53,1010.5,,,0,,,,
13.2,31.9,0,,9,53,1014.1,,,0,,,,
18,31.1,0,,26,58,1014.7,,,0,,,,
13.8,22.1,0.2,,33,57,1014.5,,,0,,,,
11.5,22,0,,33,60,1013.7,,,0,,,,
7.6,24,0,,13,52,1014.5,,,0,,,,
8.3,27.9,0,,20,58,1015.2,,,0,,,,
11,30.2,0,,11,54,1017,,,0,,,,
13.8,31.8,0,,17,49,1019.7,,,0,,,,
15.5,32,0,,4,51,1019.5,,,1,,,,
18.4,30.5,1.2,,19,57,1021.3,,,0,,,,
20.9,25.7,0,,9,52,1019.5,,,1,,,,
17.1,25.8,5.8,,13,82,1017.4,,,1,,,,
16.4,27,3,,22,82,1012.7,,,1,,,,
10,19.7,11.6,,17,62,1013.4,,,0,,,,
8.8,21.9,0,,20,78,1013.3,,,0,,,,
8.4,25.3,0,,17,78,1015.6,,,0,,,,
9.3,28,0,,11,76,1017.4,,,0,,,,
11.3,30.1,0,,7,56,1016.3,,,0,,,,
11.5,33.5,0,,7,50,1016.5,,,0,,,,
13.8,33.6,0,,11,47,1017,,,0,,,,
14.6,30,0,,19,56,1014.8,,,0,,,,
14.4,31.6,0,,24,63,1013.7,,,0,,,,
10.8,31.9,0,,20,62,1016.5,,,0,,,,
15.4,22.3,0.4,,9,69,1017.4,,,1,,,,
13.3,29.8,1.8,,20,87,1019.1,,,0,,,,
10.1,27.6,0,,11,63,1023,,,0,,,,
9.1,28.9,0,,17,60,1023.8,,,0,,,,
10.4,31.2,0,,6,60,1022.4,,,0,,,,
13.4,30.4,0,,9,57,1023,,,0,,,,
12.3,29.9,0,,13,61,1023.2,,,0,,,,
12.2,30.6,0,,6,59,1022.6,,,0,,,,
14.3,32.1,0,,11,59,1022.6,,,1,,,,
18.4,28.1,8.6,,17,92,1018.8,,,1,,,,
10.7,21.4,12.6,,13,60,1019.8,,,0,,,,
7.8,21.7,0,,19,72,1020.4,,,0,,,,
8.1,21.4,0,,19,58,1021.8,,,0,,,,
7.5,22.5,0,,7,55,1026.7,,,0,,,,
8.2,24,0,,13,60,1027.1,,,0,,,,
8.1,25.7,0,,13,67,1024.2,,,0,,,,
11.6,26.7,0,,11,59,1021.5,,,1,,,,
13,24.9,8.4,,11,75,1024.4,,,1,,,,
13.5,24.2,6.2,,6,88,1024.1,,,0,,,,
9.9,25.4,0,,7,65,1023,,,0,,,,
12.2,25,0,,15,68,1016.3,,,0,,,,
10.7,21.9,0,,31,44,1008.2,,,0,,,,
3.5,20,0,,13,65,1016.3,,,0,,,,
6.6,21.6,0,,11,59,1018.5,,,0,,,,
7,23.4,0,,17,73,1022.8,,,0,,,,
11.2,23.9,0,,15,54,1022.7,,,0,,,,
7.4,22,0,,7,58,1023.6,,,0,,,,
5.7,21.4,0,,7,68,1025.2,,,0,,,,
6.2,22.7,0,,7,73,1026,,,0,,,,
6,22.9,0,,20,68,1021.3,,,0,,,,
10.6,16.2,0,,4,74,1008.9,,,1,,,,
12.9,15.8,20,,15,83,1004.8,,,1,,,,
8.6,12.9,21,,31,77,1004,,,1,,,,
4.5,11.5,3.2,,13,82,1013.8,,,1,,,,
7.6,14.5,4.8,,20,83,1018,,,0,,,,
5.4,12.2,0,,7,62,1023.1,,,0,,,,
2.1,16.5,0,,7,70,1023.4,,,0,,,,
1.8,17,0,,7,77,1026,,,0,,,,
7.2,19.2,0,,6,81,1026.9,,,0,,,,
4.6,18.9,0,,7,75,1028.7,,,0,,,,
4.2,19.1,0,,13,86,1029.8,,,0,,,,
5.2,18.8,0,,7,71,1031.4,,,0,,,,
4.1,19.3,0,,7,82,1028.5,,,0,,,,
3.2,18.4,0,,11,86,1026.2,,,0,,,,
4.3,19,0,,9,68,1028.8,,,0,,,,
3.7,20.5,0,,7,78,1026,,,0,,,,
5.4,19.5,0,,7,69,1025.1,,,0,,,,
4.3,17.7,0,,7,89,1025.6,,,0,,,,
3.6,18.5,0,,17,81,1022.3,,,0,,,,
3.6,15.1,0,,17,86,1018.4,,,0,,,,
6.9,16.3,0,,19,77,1015.3,,,0,,,,
10.3,16.6,0,,19,82,1015,,,1,,,,
12.4,16.4,1.8,,24,82,1011.8,,,0,,,,
3,15.6,0,,9,83,1022.5,,,0,,,,
2.6,19.7,0,,4,82,1024.7,,,0,,,,
3.7,19.1,0,,11,87,1023.6,,,0,,,,
5.1,18.6,0,,9,75,1022.8,,,0,,,,
4.4,19.8,0,,7,81,1025.2,,,0,,,,
4.7,19.8,0,,19,75,1025.2,,,0,,,,
6.2,22.9,0,,9,71,1022.2,,,0,,,,
6.7,21.1,0,,11,69,1025,,,0,,,,
9.3,20.3,0,,22,77,1024.6,,,1,,,,
11.6,18.1,4.2,,6,97,1021.4,,,0,,,,
8,16.2,0.8,,11,99,1021.7,,,0,,,,
2.6,15.7,0,,2,91,1023.4,,,0,,,,
2.2,16.5,0,,19,67,1025.6,,,0,,,,
2.2,16.8,0,,15,65,1030.3,,,0,,,,
1.7,17.1,0,,9,73,1034.1,,,1,,,,
8,14.3,1.2,,0,88,1031.9,,,1,,,,
8.4,13.4,1.4,,7,78,1029.3,,,1,,,,
10.6,14.3,4.8,,9,85,1023.5,,,1,,,,
8.9,17.4,8,,4,99,1021,,,0,,,,
2.8,16.1,0,,11,86,1017.9,,,0,,,,
1.7,10.5,0.2,,0,99,1015.2,,,1,,,,
4.7,11.6,14.4,,17,93,1007.5,,,1,,,,
9,12,4.6,,26,88,1009.6,,,1,,,,
6.3,8.8,2,,13,92,1011.1,,,1,,,,
3,10.5,5.6,,22,77,1017.6,,,0,,,,
-2,9.6,0,,6,84,1025.1,,,0,,,,
-1.3,8.2,0,,6,99,1025.7,,,0,,,,
1.8,12.4,0,,15,86,1018.3,,,0,,,,
2,15.8,0,,11,82,1011.8,,,0,,,,
0.5,14.9,0.4,,0,99,1013.9,,,0,,,,
1.2,17.7,0,,6,83,1022.3,,,0,,,,
0.6,15.9,0,,2,94,1029.7,,,0,,,,
0.5,14.7,0,,0,99,1031.6,,,0,,,,
0.5,15.3,0,,6,93,1030.8,,,0,,,,
0.9,17.3,0,,17,85,1025.7,,,1,,,,
7,17,1.6,,20,99,1021.9,,,1,,,,
5,14.9,5.6,,6,99,1020.7,,,0,,,,
3.9,15.5,0,,7,99,1020.2,,,1,,,,
7.7,14.1,6,,9,81,1014.9,,,0,,,,
4.7,12.2,0,,13,99,1015.5,,,1,,,,
6.9,13.7,4.4,,9,99,1011.6,,,0,,,,
8.4,11.9,0,,6,79,1007.8,,,1,,,,
9.3,12.3,5.4,,11,98,1007.5,,,1,,,,
8.2,15.7,3.6,,15,91,1011.4,,,1,,,,
9.1,16.1,2,,19,78,1007.6,,,1,,,,
8.3,13.3,8.4,,22,85,1006.5,,,1,,,,
8.8,11.6,5,,19,88,1009.4,,,1,,,,
7.6,12,7.8,,22,82,1008.6,,,0,,,,
5.7,13.2,0,,24,91,1016.3,,,0,,,,
3.4,12.4,0,,15,80,1019.9,,,0,,,,
0,12.1,0,,7,99,1022.4,,,0,,,,
-1.5,12.5,0,,7,91,1026,,,0,,,,
-1.7,13.8,0,,7,84,1030.4,,,0,,,,
-0.4,15,0.2,,7,84,1032,,,0,,,,
0.1,13.5,0,,9,93,1028.7,,,0,,,,
4.8,13.3,0.6,,13,96,1020.5,,,0,,,,
8.1,16.5,0.6,,19,77,1010.4,,,0,,,,
5.9,13.1,1,,11,82,1007.6,,,1,,,,
6.9,11,6.8,,9,94,1006.6,,,1,,,,
2.9,12.6,1.8,,0,99,1010.5,,,0,,,,
-0.6,13.4,0,,9,95,1015.6,,,0,,,,
-0.3,14.4,0.2,,6,88,1022.4,,,0,,,,
-1,12,0,,11,98,1023,,,0,,,,
3.2,14.1,0.6,,11,94,1021.6,,,0,,,,
3.6,16.5,0.2,,19,95,1023.1,,,0,,,,
0.8,17.7,0,,17,87,1019.7,,,0,,,,
6.6,12.3,0,,20,74,1009.5,,,1,,,,
6,13.5,9.8,,17,83,1015.1,,,0,,,,
-0.1,12.9,0,,15,87,1027.3,,,0,,,,
-0.3,12.2,0,,9,95,1026.8,,,0,,,,
2.1,9.8,0,,2,85,1018,,,0,,,,
1.3,8.8,0,,9,99,1019.9,,,1,,,,
4.2,12.7,3.8,,11,89,1024,,,1,,,,
8.3,13.2,2.4,,9,98,1026,,,0,,,,
3.3,12.1,0.2,,9,99,1025.8,,,1,,,,
6.5,14.5,5.2,,22,81,1021.3,,,0,,,,
7.4,13.9,0.2,,15,99,1026.8,,,0,,,,
7.5,14.1,0.8,,17,94,1027.9,,,0,,,,
8.3,13.8,0.8,,15,79,1023.1,,,0,,,,
3.2,14.7,0,,4,91,1021.7,,,1,,,,
5.7,13.8,5.4,,7,98,1022.2,,,0,,,,
5.1,17.1,0.4,,19,99,1021.9,,,0,,,,
8,13.9,0.8,,33,79,1012.8,,,1,,,,
-0.8,12.9,4.2,,6,78,1026.4,,,0,,,,
-1,12.2,0,,7,91,1021.6,,,0,,,,
1.9,14.8,0.2,,11,72,1018.6,,,0,,,,
5.9,17.7,0.4,,22,62,1009,,,1,,,,
6.9,14.3,4.8,,13,99,1011.5,,,0,,,,
7.7,11.6,0.2,,13,94,1015.7,,,1,,,,
6.8,15.2,1.2,,13,99,1021.1,,,0,,,,
2.7,17.5,0.2,,13,99,1021.2,,,1,,,,
5.1,15.5,1.6,,11,79,1012.2,,,1,,,,
4.2,13.6,3.2,,19,73,1018.2,,,0,,,,
0.6,15.6,0,,6,85,1029.8,,,0,,,,
1.6,16.4,0,,7,99,1027.7,,,0,,,,
5.5,18.4,0,,13,78,1019.7,,,0,,,,
7.3,14.8,1,,30,72,1004,,,1,,,,
0.2,14.1,6.6,,13,90,1012,,,1,,,,
5.8,18.9,3.8,,11,94,1011.5,,,1,,,,
8.9,17.1,1.2,,22,68,1004.1,,,1,,,,
7.1,12.8,2,,20,75,1009.6,,,1,,,,
4.2,14.4,3.6,,30,83,1016.1,,,0,,,,
1.1,16.7,0.4,,19,72,1018.5,,,0,,,,
1.1,18.6,0,,11,87,1016.9,,,1,,,,
7.2,17.9,4.2,,19,81,1002.6,,,1,,,,
6.3,11.1,13.4,,20,77,1014.2,,,1,,,,
6.7,14.2,1.4,,22,90,1018.9,,,1,,,,
5.1,14.2,3,,15,96,1023.2,,,0,,,,
1,16.8,0,,9,82,1024.9,,,0,,,,
6.1,20.7,0,,24,80,1016.6,,,1,,,,
6.3,16.9,1.4,,13,85,1014.4,,,0,,,,
2.1,15,0,,11,81,1019.5,,,0,,,,
1.6,16.6,0,,20,79,1018.4,,,0,,,,
8.3,17.6,0,,30,73,1005,,,0,,,,
5.7,16.5,0,,30,90,1009.9,,,0,,,,
7.5,14.3,0,,22,82,1012.8,,,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
6.5,24.7,0,,22,70,1020,,,0,,,,
13.2,25.1,0,,11,44,1017,,,0,,,,
4.3,17.8,0,,6,60,1022.6,,,0,,,,
1.6,17.2,0,,7,68,1022.5,,,0,,,,
2.8,21.1,0,,9,74,1022.2,,,0,,,,
6.3,19,0,,2,76,1013.8,,,1,,,,
7.4,20.4,10.2,,0,75,1021.2,,,0,,,,
5.4,20.6,0,,11,98,1018.8,,,0,,,,
8,18.9,0.4,,20,79,1014.6,,,0,,,,
3.7,19,0.2,,15,73,1014.5,,,1,,,,
11.5,20.2,8.4,,13,77,1002.6,,,1,,,,
9.3,16.8,28.8,,30,82,997.8,,,1,,,,
8.2,18.2,1.4,,24,72,1015.1,,,0,,,,
5.3,20.6,0,,13,60,1009.3,,,1,,,,
6.8,12.2,6,,24,79,1005.2,,,1,,,,
4.5,12.9,1.6,,37,78,1009.8,,,0,,,,
5.5,17.9,0,,24,79,1012.3,,,0,,,,
1.7,17,0,,11,73,1015.6,,,0,,,,
4,21.4,0,,17,75,1018,,,0,,,,
8.9,21.1,0,,9,76,1012.4,,,0,,,,
11.7,22,0,,11,68,1009.6,,,1,,,,
8.5,13.5,3.2,,11,87,1014,,,1,,,,
9.6,16.2,1.8,,9,85,1020.6,,,0,,,,
8.3,19.7,0.2,,20,85,1020.7,,,0,,,,
5.2,16.2,0,,15,85,1020.2,,,1,,,,
3.8,15.9,3.6,,15,90,1018.7,,,0,,,,
1.2,16.3,0,,13,65,1024,,,0,,,,
3.2,18.2,0,,9,63,1027.7,,,0,,,,
4.6,19,0,,9,55,1029.5,,,0,,,,
6.4,18.7,0,,17,68,1022.6,,,0,,,,
5.8,23.3,0,,20,88,1007.9,,,1,,,,
6.6,17.7,2,,30,70,1001.9,,,1,,,,
9.5,15.1,7,,30,88,1000.5,,,1,,,,
9.7,15.7,1.4,,22,79,1008.5,,,1,,,,
4.1,16.6,6.8,,19,77,1016,,,0,,,,
4.6,19.2,0,,13,83,1022.7,,,0,,,,
5.1,20.3,0,,9,72,1026.9,,,0,,,,
5.1,22.7,0,,6,78,1026.6,,,0,,,,
6.9,26.6,0,,17,71,1022.9,,,0,,,,
8.8,27.1,0,,15,73,1018.9,,,0,,,,
9.1,27.1,0,,13,67,1020.8,,,0,,,,
8.1,23.9,0,,13,70,1019.6,,,0,,,,
7.4,25.4,0,,13,68,1019.5,,,0,,,,
10.6,23.1,0,,13,68,1014.7,,,0,,,,
10.8,22,0,,15,52,1023.8,,,0,,,,
5.9,24.1,0,,9,64,1027.5,,,0,,,,
11.3,26.8,0,,9,67,1025.4,,,0,,,,
14.5,26.9,0,,20,65,1023.4,,,0,,,,
13.7,29.1,0,,11,75,1022.8,,,0,,,,
15.6,30.8,0,,11,65,1022.3,,,0,,,,
17.8,34,0,,17,66,1021.6,,,0,,,,
18.7,32.4,0,,9,66,1018.8,,,0,,,,
18.7,24.3,0,,20,46,1009.8,,,0,,,,
10,23.2,0,,19,59,1017.1,,,0,,,,
6.6,25.3,0,,26,67,1020.5,,,0,,,,
10.8,27.9,0,,15,55,1025,,,0,,,,
11.3,29.8,0,,15,57,1028.5,,,0,,,,
13.5,31.8,0,,9,55,1029.1,,,0,,,,
15.4,33.4,0,,13,48,1025.4,,,0,,,,
15.9,35.2,0,,11,49,1021,,,0,,,,
17.1,36,0,,13,43,1021.4,,,0,,,,
16.7,35.1,0,,28,49,1018.9,,,0,,,,
18.1,32.8,0,,17,42,1017.2,,,0,,,,
13.4,35.4,0,,11,55,1015.6,,,0,,,,
17.2,36.3,0,,22,57,1009.8,,,0,,,,
15.3,35.1,0,,13,46,1007,,,0,,,,
12.1,30.5,0,,9,38,1008,,,0,,,,
11.4,33.5,0,,9,53,1010,,,0,,,,
18.6,39.7,0,,22,29,1006.8,,,0,,,,
15.3,38.2,0,,13,45,1007.6,,,1,,,,
19.3,21,10.6,,9,95,1010.8,,,1,,,,
18.3,28.3,25.8,,46,98,1003.7,,,0,,,,
11.9,23.6,0.4,,9,63,1020.7,,,0,,,,
12.8,25.8,0,,7,60,1024.6,,,0,,,,
17.2,32.9,0,,7,60,1020.8,,,0,,,,
21,34.5,0,,39,48,1012.2,,,1,,,,
15.9,26.2,10.2,,0,82,1010.7,,,0,,,,
17.1,26.4,0,,24,48,1006.5,,,1,,,,
12.8,22.3,9.4,,19,94,1000.5,,,1,,,,
13.2,23.9,2.4,,24,82,1010.3,,,0,,,,
12.3,23.6,0,,22,43,1018.4,,,0,,,,
10.6,27,0,,9,48,1022,,,0,,,,
11.4,31.5,0,,17,57,1019.2,,,0,,,,
12.3,27.5,0,,20,42,1015.9,,,0,,,,
10.7,26.7,0,,24,44,1015.1,,,0,,,,
11.1,30.7,0,,13,58,1015.9,,,0,,,,
13.4,31.9,0,,28,47,1012.3,,,0,,,,
18.2,24.9,0,,28,58,1006.9,,,1,,,,
9.2,25.4,1.2,,15,64,1011.6,,,0,,,,
14.2,27.4,0,,19,52,1008.9,,,0,,,,
9.2,22.6,1,,20,62,1016.9,,,0,,,,
9,26.5,0,,15,52,1019.2,,,0,,,,
11.8,29.6,0,,24,52,1017.6,,,0,,,,
13.6,32,0,,15,48,1018.7,,,0,,,,
13.1,34.7,0,,19,51,1019.4,,,0,,,,
14.6,38.6,0,,20,45,1017,,,0,,,,
14.5,40.3,0,,50,40,1008.9,,,1,,,,
12.2,26.4,3,,17,60,1015,,,0,,,,
11.1,29.2,0,,20,45,1016.2,,,0,,,,
12,31.3,0,,7,52,1018.1,,,0,,,,
12.7,33.7,0,,22,48,1013.5,,,0,,,,
15.1,36.6,0,,19,44,1010.9,,,0,,,,
18.1,38.2,0,,11,41,1012.4,,,0,,,,
22.9,34.6,0,,20,21,1006.5,,,1,,,,
18.8,28.3,9.8,,6,84,1009.8,,,0,,,,
17.1,31.3,0,,7,56,1014.7,,,0,,,,
17.6,27.3,0,,15,61,1016.3,,,0,,,,
17.8,35.9,0,,11,58,1015.2,,,0,,,,
18.7,35.9,0,,9,46,1020,,,0,,,,
19.8,36.8,0,,15,41,1022,,,0,,,,
21.1,33.2,0,,20,41,1016.8,,,1,,,,
19.4,31.9,5,,9,70,1012.2,,,1,,,,
18.6,29.1,12.4,,28,88,1007.8,,,0,,,,
12.2,29.7,0,,19,57,1014.4,,,0,,,,
14.8,32.8,0,,9,55,1017.5,,,0,,,,
15,35.8,0,,17,46,1014.9,,,0,,,,
16.3,33.8,0,,26,49,1014.1,,,0,,,,
,,,,,,,,,,,,,
17.4,36.4,0,,13,50,1018,,,0,,,,
19.6,39.8,0,,22,48,1017.2,,,0,,,,
20.6,42.2,0,,15,38,1015.4,,,0,,,,
21,42.2,0,,9,39,1013.8,,,0,,,,
24.5,42.4,0.2,,33,48,1007.7,,,0,,,,
22.6,28.4,0.4,,11,56,1009.8,,,1,,,,
15.7,31.7,3,,19,55,1016.1,,,0,,,,
17.2,36.3,0,,13,51,1015.6,,,0,,,,
21.8,36.6,0,,30,50,1009.6,,,0,,,,
16.8,25.6,0,,35,51,1006.9,,,0,,,,
10.5,22.6,0,,30,44,1007.7,,,0,,,,
8.7,25.2,0,,30,47,1011.5,,,0,,,,
11,32.9,0,,19,52,1011.8,,,0,,,,
15.4,37.3,0,,22,39,1010.7,,,0,,,,
19.2,41.8,0,,31,40,1008.8,,,0,,,,
24.7,35.4,0,,19,43,1006.7,,,0,,,,
14.4,33.7,0,,15,50,1013.2,,,0,,,,
14.3,35.8,0,,17,47,1011.4,,,0,,,,
15.1,35.9,0,,17,35,1010,,,0,,,,
17.7,36.4,0,,15,45,1011.4,,,0,,,,
15.2,34.4,0,,22,51,1008.5,,,0,,,,
16,35.2,0,,7,46,1009,,,0,,,,
18.9,36.5,0,,9,48,1015.3,,,0,,,,
21.7,36.3,0,,15,39,1014.2,,,0,,,,
21,38.2,0,,15,46,1014,,,1,,,,
17.8,34.3,8.6,,9,61,1016.1,,,0,,,,
17.9,35.6,0,,17,36,1014,,,0,,,,
,,,,,,,,,,,,,
19.2,26.1,52.2,,13,83,1009.9,,,1,,,,
19.5,30.3,5.6,,22,55,1016.4,,,0,,,,
20.3,33.9,0,,6,53,1020.8,,,0,,,,
23,34,0,,11,66,1020.8,,,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
20.8,27.1,0,,11,82,1009.9,,,0,,,,
20.5,30.3,0,,20,80,1006.8,,,0,,,,
17.8,26.8,0,,28,76,1008.6,,,0,,,,
17.6,29,0,,13,48,1014.7,,,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
16.4,30.3,0,,9,54,1023.6,,,0,,,,
15.7,31.8,0,,19,70,1018.9,,,0,,,,
19.6,34.7,0.6,,24,71,1015.3,,,1,,,,
20.2,26.4,3.6,,9,83,1014.6,,,0,,,,
12.5,26.1,0.2,,11,56,1017.3,,,0,,,,
12.8,28.5,0,,11,57,1020.3,,,0,,,,
15,31,0,,7,61,1023.9,,,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
18.2,29.3,1.4,,20,84,1016.7,,,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
12.5,31.2,0,,4,61,1018.6,,,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
18.8,30.3,20.6,,7,87,1010,,,1,,,,
18.3,22.9,5.8,,13,89,1013.3,,,1,,,,
18.1,25.5,66,,37,79,1008.7,,,1,,,,
15.7,22.4,6.2,,17,90,1014.4,,,0,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
10.6,25,0,,4,72,1036.3,,,0,,,,
11.5,25.7,0,,9,80,1035.2,,,0,,,,
12.2,26.3,0,,7,75,1030,,,0,,,,
13.2,26.6,0,,11,72,1025.5,,,0,,,,
12.5,28.6,0,,4,73,1023.8,,,0,,,,
13.3,29.6,0,,4,76,1025.6,,,0,,,,
15.1,30.4,0,,9,73,1025.4,,,0,,,,
14.9,31.4,0,,15,79,1020.4,,,0,,,,
16.7,31.9,0,,19,77,1020.2,,,0,,,,
16.8,25.6,0,,24,78,1018.7,,,0,,,,
9.1,25.3,0,,13,69,1020.8,,,0,,,,
8.3,27,0,,19,79,1021.2,,,0,,,,
10.5,28.8,0,,6,81,1022,,,0,,,,
11.6,29.6,0,,6,75,1021.8,,,0,,,,
12.6,30,0,,11,80,1019.2,,,0,,,,
15.6,30.2,0,,9,73,1019.8,,,0,,,,
17.2,28.7,0,,13,79,1016.4,,,1,,,,
18.2,26.3,11,,20,94,1015.8,,,0,,,,
16.5,26.9,0.4,,11,91,1019.6,,,0,,,,
13.4,26.1,0,,9,71,1021.2,,,0,,,,
11.6,25.8,0,,9,82,1020,,,0,,,,
10,25.1,0,,6,78,1019.8,,,0,,,,
12.4,24.8,0,,11,71,1020.7,,,0,,,,
12.5,24.8,0,,7,58,1022.1,,,0,,,,
10.3,25.3,0,,9,76,1020.7,,,0,,,,
10.6,24.7,0,,20,75,1017.9,,,1,,,,
15.7,23.4,3,,9,87,1012.8,,,1,,,,
13.5,23.1,3.2,,20,84,1016.7,,,0,,,,
10.1,21.9,0,,7,73,1016.1,,,0,,,,
14.1,18.6,0.2,,11,84,1011.6,,,1,,,,
14.2,18.7,7,,35,86,1010.1,,,0,,,,
5.6,17.4,0,,24,71,1018.1,,,0,,,,
4.6,19.9,0,,11,82,1023.8,,,0,,,,
5.1,21.9,0,,7,81,1023.6,,,0,,,,
6.1,23.5,0,,6,79,1022.6,,,0,,,,
7.7,24.7,0,,11,79,1026.5,,,0,,,,
8.5,25.4,0,,11,74,1027.8,,,0,,,,
10.1,25.1,0,,9,67,1027.1,,,0,,,,
11.2,25.9,0,,9,81,1025.7,,,0,,,,
11.8,25.2,0,,13,79,1024.6,,,0,,,,
12.3,27.5,0,,7,74,1022.8,,,0,,,,
11.4,27.3,0,,9,74,1023.6,,,0,,,,
